Name,Details,Files,Action,"Fixed Version","Created by","Last edited by","Created time",Priority,"How many user experienced"
"Remove contact field from Razorpay payment page.","Some of our user want’s to remove this section because it not mendatory for them, please configure the API and remove the contact field from the payment page.",F0ALQKE8RU6,Accepted,,U029V6VAVSP,U018QTESVGC,"3/16/26, 12:51 PM",Mid,0
"Lessons uploaded resources file remove if we edit the lesson page with elementor.","When user try to edit the lesson page with elementor and update the page, and if there is lesson attachment file available that deleted from the lesson. Need to fix.

Ticket link: https://tutorlms.com/account/tickets/?nocache=1775448972#/31085?back_to=P2Fzc2lnbm1lbnRfdHlwZT1taW5l",,Accepted,,U029V6VAVSP,U018QTESVGC,"3/16/26, 1:45 PM",Mid,0
"Course auto enrollment after guest checkout.","Presently, if any user purchase a course in guest checkout the course enrollment did not work.

Almost every user needs this feature, whenever that user registered to the system after course purchase they should be auto enrolled to that course.",,Feature,,U029V6VAVSP,U018QTESVGC,"3/17/26, 11:14 AM",Mid,0
"Expired Courses Still Visible on Student Dashboard","When a course enrollment expires (e.g., after a defined 30-day access period), the enrollment status is correctly marked as *“Expired”* in the admin panel. However, the course still remains visible in the student dashboard.

Environment:
• Tutor LMS Pro version: 3.9.7 (updated)
• Issue persists even after clearing cache
Ticket ID: https://tutorlms.com/account/tickets/#/30851?back_to=P2Fzc2lnbm1lbnRfdHlwZT1hc3NpZ25lZA==","F0AM7A0PCMA,F0AM7A43XSQ",Done,,U07B4GNP7RN,U018QTESVGC,"3/17/26, 7:15 PM","Hight Priority",0
"“New Lesson Added” Email Notification Not Triggering","The email notification for “New Lesson Added” is not being triggered for students, even though other email notifications are working correctly.",,Accepted,,U07B4GNP7RN,U018QTESVGC,"3/18/26, 10:26 PM","Hight Priority",0
"Tutor LMS Native Invoice issue with Elementor","Due to the recent change in the URL structure of the Tutor LMS invoice, it is showing the homepage of the site built with Elementor.

https://katec85.sg-host.com/?tutor-invoice=142",,Done,,U07ACRUL5N1,U018QTESVGC,"7/15/26, 4:51 PM",High,0
"Co-Instructor Cannot View Course Assignments in Dashboard → Assignments","A user assigned as a *Co-Instructor (Co-Author)* to a course cannot see the assignments submitted under that course from the *Dashboard → Assignments* page. However, if the same user role is changed to *Author*, the assignments become visible immediately.",F0BHDHHHAPR,Accepted,,U07AFKF2R19,U018QTESVGC,"7/16/26, 10:34 PM","Hight Priority",0
"Instructor Feedback Not Saving in Quiz Attempts (Tutor LMS 3.9.4)","In Tutor LMS version 3.9.4, *instructor feedback submitted under any quiz attempt is not being saved*.",F0A7RPK4GN4,Done,,U07AFKF2R19,U018QTESVGC,"1/6/26, 2:19 AM","Hight Priority",0
"Content Drip addon","We've received a report of a possible regression in Tutor LMS 4.0 related to Drip Content.
*Issue:*
Previously, when a student clicked on a locked lesson in the course curriculum, they were redirected to the lesson page, where the scheduled unlock date and time were displayed.
In *Tutor LMS 4.0*, this behavior no longer works with both the *Legacy* and *Modern* course player templates. Clicking a locked lesson in the curriculum sidebar does nothing—the student remains on the current page and cannot view the lesson's scheduled availability.
*Steps to Reproduce:*
1. Create a course with *Drip Content* enabled.
2. Log in as a student.
3. Open the course player.
4. Click on a locked lesson in the curriculum sidebar.
*Expected Behavior:*
The student should be redirected to the locked lesson page so they can see the scheduled release date and time.
*Actual Behavior:*
Clicking the locked lesson has no effect. The page does not change, and the student cannot view when the lesson will become available.",,Done,,U07ACRUL5N1,U018QTESVGC,"7/10/26, 4:48 PM","Hight Priority",0
"Tutor Login redirect to dashboard instead redirect to the course page or the same page from where they logged in","It's a common issue from our earlier Tutor version we should fix this issue, Every time the student login via Tutor login modal they are redirected to the dashboard. But this should redirected to the same page from where they have submitted the login.",,Request,,U029V6VAVSP,U018QTESVGC,"8/17/26, 1:57 PM",High,0
"Incorrect view of Category / tag in students dashboard","If any course have multiple category and tags then those are all loading in student dashboard check the screenshot.",F0BQ81JNB2T,Accepted,,U029V6VAVSP,U06C1MJDCFL,"8/17/26, 5:18 PM",High,0
"Missing Translation String in Tutor LMS Quiz","The following frontend message does not appear in the available Tutor LMS translation strings:
> “Please answer all required questions before submitting”
Because the string is not available in the translation catalog, users cannot translate it through Loco Translate.",,Accepted,,U07B4GNP7RN,U06C1MJDCFL,"8/18/26, 2:02 PM","Hight Priority",0
"Lesson Time Duration Not Saving/Updating","The lesson *Time Duration* value cannot be updated properly. When the admin changes the lesson duration and saves the lesson, the new value is not persisted.

Steps to Reproduce
1. Open a course in the Tutor LMS Course Builder.
2. Edit any lesson.
3. Change the *Time Duration* value.
4. Save/update the lesson.
5. Return to the lesson and check the duration again.
6. The duration reverts to the previous/old value.
7. The course frontend also continues displaying the old duration.
","F0BR2BEQKNH,F0BR9PX203E",Accepted,,U07B4GNP7RN,U06C1MJDCFL,"8/19/26, 11:42 AM","Hight Priority",0
"Previously Enrolled Students Lose Access to Courses Included in a Private Course Bundle","When a course bundle is changed from *Published/Public* to *Private*, students who were already enrolled in the bundle can no longer access the individual courses included in that bundle.

Previously enrolled students should retain access to the courses they were already enrolled to the bundle, even after the bundle is made private to prevent new enrollments.

Steps to Reproduce
1. Create a course bundle containing multiple courses.
2. Publish the course bundle.
3. Enroll a student in the bundle.
4. Verify that the student can access the individual courses included in the bundle.
5. Change the course bundle status from *Published* to *Private*.
6. Log in as the previously enrolled student.
7. Open the student dashboard and access the courses included in the bundle.
",,Request,,U07AFKF2R19,U07AFKF2R19,"8/19/26, 1:00 PM","Hight Priority",0
"Wrong display for total marks in Quiz","The quiz contains 20 questions, with 10 marks per question. The maximum number of questions allowed is set to 10 random questions, so the maximum score should be 100. https://prnt.sc/APwoOz_vLQu_ However, this displays as 200 instead of 100. The students are misled by the incorrect marks. https://prnt.sc/1_4UDftd4S4T",,Request,,U07ACRUL5N1,U07ACRUL5N1,"8/19/26, 1:11 PM",High,0
"Quiz Answer Option 0 Not Displaying on Frontendup","When creating a quiz, adding `0` (zero) as an answer option works correctly in the Quiz Builder/backend, but the `0` option is not displayed on the frontend for students.","F0BS20BLBLY,F0BR3SJ42VB",Accepted,,U07B4GNP7RN,U06C1MJDCFL,"8/19/26, 3:29 PM","Hight Priority",0
"Assignment Description View Imrpovement","Before the update, students could see the assignment instructions/description when they opened an assignment. After the update, they only see:
• the assignment title
• the text editor to submit their answer
• the file upload area
The assignment description/instructions are no longer displayed anywhere on the submission page.
This means students have no way to read the instructions while completing the assignment.",,Accepted,,U07ACRUL5N1,U06C1MJDCFL,"8/20/26, 12:27 PM",High,0
"Content Bank – Invalid Question ID When Adding to Existing Quiz","Questions imported from the Content Database into an existing quiz are added successfully but cannot be saved. When adding a question from the *Content Bank* to an existing quiz, the question appears to be imported successfully. However, when attempt to save the quiz, the following error appears ""Invalid question id found""",F0BRE5WDT0E,Accepted,,U07B4GNP7RN,U06C1MJDCFL,"8/20/26, 12:45 PM","Hight Priority",0
"Certificate Does Not Update After Changing Anything","When there is any changes in certificate in their *completing course and receiving a certificate*, the existing certificate continues to display the old informations and does not update until it is regenerated. For regeneration a student need to retake the course again. Here is video:

https://www.loom.com/share/7e51c4a5d23f4be18c9fa2d00d7cfffd",,Request,,U07B4GNP7RN,U07B4GNP7RN,"8/21/26, 11:30 AM","Hight Priority",0
"Forget Password Redirection","The “forgot password” redirection URL is pointing to the wp-login instead of a Tutor LMS form, which it used to in previous versions: https://prnt.sc/0JRNp8c1krJH",,Done,,U07ACRUL5N1,U018QTESVGC,"7/13/26, 12:08 PM","Hight Priority",0
"Enrollment button is not working in Tutor LMS themes","When user clicks enroll button on Tutor LMS themes, button shows loading state but does not complete the action.

Error:

`[24-Jun-2026 07:30:34 UTC] PHP Fatal error:  Uncaught Error: Call to undefined method TutorLMSKirki\Ajax::is_course_purchasable() in /s2-shrillrhythm/wordpress/wp-content/plugins/tutor/includes/kirki/backend/Ajax.php:81`
`Stack trace:`
`#0 /s2-shrillrhythm/wordpress/wp-includes/class-wp-hook.php(341): TutorLMSKirki\Ajax->tutor_handle_api_calls()`
`#1 /s2-shrillrhythm/wordpress/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()`
`#2 /s2-shrillrhythm/wordpress/wp-includes/plugin.php(522): WP_Hook->do_action()`
`#3 /s2-shrillrhythm/wordpress/wp-admin/admin-ajax.php(192): do_action()`
`#4 {main}`
  `thrown in /s2-shrillrhythm/wordpress/wp-content/plugins/tutor/includes/kirki/backend/Ajax.php on line 81`",,Accepted,,U07A949N6VC,U018QTESVGC,"6/26/26, 11:46 AM","Hight Priority",0
"Sequential Course Progression Not Enforced After Failed Quiz","Sequential Course Progression in Content Drip allows access to next lesson even when prerequisite quiz is failed

*Steps to Reproduce:*
1. Create a course with sequential content enabled.
2. Add Lesson 1 followed by Quiz 1 with ""Pass is Required"" enabled.
3. Add Lesson 2 after Quiz 1.
4. Enroll a new student.
5. Complete Lesson 1.
6. Attempt Quiz 1 and score below the passing grade (below 80%).
7. Observe the course progression.
*Expected Result:*
• Lesson 2 should remain locked.
• Student should not be able to access Lesson 2 until Quiz 1 is passed successfully.
*Actual Result:*
• Quiz 1 is recorded as Failed.
• Lesson 2 becomes unlocked and accessible immediately.
• Sequential progression is bypassed despite the failed prerequisite quiz.
*Impact:*
This issue breaks the learning flow for courses that rely on mandatory assessments before progressing to later modules. Students can continue through the course without meeting the required quiz completion criteria.",,Done,,U07B4GNP7RN,U018QTESVGC,"7/13/26, 11:00 AM","Hight Priority",0
"Missing Translation Strings in Tutor LMS 4.0 Student Dashboard","Student Dashboard
• Welcome to yoestomelosaco.com
• You haven't enrolled in a course yet.
• Explore course and start building your skills today.
• Explore Courses (appears in multiple places)
Quick Tips
• Quick Tips
• Make the most of your learning experience
• Use notes to save key ideas as you watch
• Check the calendar for upcoming live sessions
• Discussions are a great place to ask questions
• You can pause and resume courses any time
Profile Settings
• Add Your Social Links
Left Navigation
• Security
• Social Accounts
• Preferences
Input Placeholders
• Enter your phone number
• Enter your skill/occupation
Security
• Account email
Preferences
• Auto-play next lesson
• Motion Effects
• Limit animations and motion effects to reduce visual strain.
• Appearance Theme
• Learning Mode
• Accessibility
• Font Size
• Adjust the text size for better readability.
• High Contrast
• Increase contrast to improve text and element visibility.
• Vision
• Choose a color filter based on your visual needs.
",,Accepted,,U02E6EEM2KW,U018QTESVGC,"7/10/26, 3:43 PM",High,0
"Matching Question Answers Missing Reference Text After Quiz Submission","For *Matching Type* quiz questions, the submitted answers shown after quiz completion do not display the corresponding reference text. As a result, students cannot understand which items their answers refer to, making the displayed results confusing and difficult to use.

The answers not displaying with the associated/reference text. Students can see the selected answers, but they cannot identify what each answer corresponds to.",F0BPS570HKR,Accepted,,U07B4GNP7RN,U06C1MJDCFL,"8/14/26, 1:53 PM","Hight Priority",0
"Manual Enrollment Issue When Course Enrollement is Paused","*Issue:*
When *Course Enrollment* is set to *Paused* from the Course Builder (https://prnt.sc/b3U9NrqVMGOR), manual enrollment by the site admin fails.

*Expected Behavior:*
The enrollment pause option should prevent users from enrolling through the frontend, but it should *not* restrict site administrators from manually enrolling students. This was the behavior in previous Tutor LMS versions.

*Current Behavior:*
With enrollment paused, the admin is also prevented from using the Manual Enrollment feature.",,Done,,U07ACRUL5N1,U018QTESVGC,"7/10/26, 1:56 PM","Hight Priority",0
"Active meeting shows expired when using Modern Learning Mode","Active meeting shows expired when using Modern Learning Mode",F0BGJNUFNDA,Accepted,,U02DTFPBMU6,U018QTESVGC,"7/10/26, 12:18 PM","Hight Priority",0
"Bunny.net video diplay problem in lesson page(need to update)","Publicly posted Bunny.net video is not loading in lesson page, can you please check.

You can test this video: https://iframe.mediadelivery.net/play/327495/1619df4c-3064-48a3-a72d-78d1df3ca9f9r

This problem exists from Tutor 3 so it’s from earlier not problem of Tutor 4.",F0BGESXVBQA,Done,,U029V6VAVSP,U018QTESVGC,"7/10/26, 11:54 AM",High,0
"Hyperlink supports in the instructor feedback/Instructor Note on assignment","The Instructor Feedback field currently supports plain text only and does not include a rich text editor. That's why pasted links are displayed as plain text instead of being rendered as clickable links. Note: HTML links worked on v3.0, and the customer now wants the same experience.",F0BGCNFNR8W,Done,,U02DTFPBMU6,U018QTESVGC,"7/10/26, 11:22 AM",High,0
"Spotlight mode issue in Modern mode","After updating to Tutor LMS 4.0, there is an issue with Modern mode. I have the Spotlight Mode option disabled, which according to the settings should only hide the header and footer when enabled. However, in Modern mode, when opening a lesson, the header and footer of the Kadence theme are hidden.",F0BH1FWGCTS,Accepted,,U0402FWM7P0,U018QTESVGC,"7/9/26, 3:54 PM",Mid,0
"Video lessons do not load in the Modern learning layout in Tutor LMS 4.0.0","In *Tutor LMS 4.0.0*, when the *Learning Area Layout* is set to *Modern*, video lessons do not render in the course learning page. However, if the layout is switched to *Legacy*, the same video lessons load and play correctly.

This indicates an issue specific to the *Modern* learning layout, while the *Legacy* layout functions as expected.",F0BG92Q5XDF,Done,,U07AFKF2R19,U018QTESVGC,"7/9/26, 3:49 PM","Hight Priority",0
"Admin cannot manually enroll students after the course enrollment period expires","In *Tutor LMS 4.0.0*, when a course's *Enrollment Period* has expired, the administrator is no longer able to manually enroll students from the *Enrollments* section. The system prevents manual enrollment even for administrators, whereas in previous version admins were able to manually enroll students even if the course enrollment period had expired.",F0BG69LQQRY,Done,,U07AFKF2R19,U018QTESVGC,"7/9/26, 1:52 PM","Hight Priority",0
"REST API issue","The REST API for lesson creation isn't accepting ""embedded"" video format using source_type and source. It's returning errors.",,Done,,U07B4GNP7RN,U02E6EEM2KW,"7/15/25, 1:11 AM",High,0
"WooCommerce Subscriptions renewal failure and enrollment cancellation issue","While using *Tutor LMS 3.9.14 and later versions(including version 4.0.0)*, there is an issue with *WooCommerce Subscriptions* where it throws the following warning:
```Trying to access array offset on null
wp-content/plugins/woocommerce-subscriptions/vendor/woocommerce/subscriptions-core/includes/admin/class-wcs-wc-admin-manager.php:84```
Due to this error, the subscription renewal process fails. The recurring payment is not renewed successfully, it becomes on hold or pending payment status and the associated course enrollment status changes to *cancelled*.",F0BG3PQLP9C,Accepted,,U07AFKF2R19,U018QTESVGC,"7/9/26, 12:36 PM","Hight Priority",0
"Students Can Generate Certificates for Courses with ""Certificate = None"" in Tutor LMS 4.0.0","In *Tutor LMS 4.0.0*, when a course has *Certificate* set to *None* (i.e., no certificate is assigned), students are still able to generate and access a certificate after completing the course by clicking the *Certificate* button in the left sidebar of the course content page. This should not happen when no certificate is assigned to the course.",F0BG5TECENQ,Accepted,,U07AFKF2R19,U018QTESVGC,"7/9/26, 1:22 AM","Hight Priority",0
"Details button does not show on quiz summary table","When a quiz is completed in *Tutor LMS 4.0.0*, the *Details* button is not displayed in the quiz completion table on mobile devices. However, the *Details* button appears correctly in the desktop view. This issue seems to occur only on mobile devices.",F0BFVR989NX,Done,,U07AFKF2R19,U018QTESVGC,"7/9/26, 1:07 AM","Hight Priority",0
"Course list page filter issue need to be fixed Tutor 4.0","IN course archive page if we add short code to show some singnificant course list.
`[tutor_course category=""18"" orderby=""Date"" order=""desc"" count=""-1""]`

In first page load it work, but if anyone click on any filter option or pagination the shortcode behaviour removed automatically. We received lot’s of user report regarding this issue for last 1 year we have to fix it in Tutor 4.0 at least.",,Accepted,,U029V6VAVSP,U018QTESVGC,"7/1/26, 6:01 PM",,0
"Issue on course builder","Typing decimal values in the course price field is currently not working only whole numbers are accepted, and separators like ""."" or "","" are ignored. Copy-paste works, but manual input fails.",,Done,,U07B4GNP7RN,U02E6EEM2KW,"7/22/25, 8:50 PM",High,0
"Quiz Pagination while set as Numbers, is Not Responsive on Desktop and Mobile","The quiz question pagination displays the question numbers, but the pagination while set as numbers, container is not responsive on both *desktop and mobile devices*.

*Steps to Reproduce:*
1. Create a quiz with a large number of questions, more than 50.
2. Enable the *Pagination* layout as Numbers.
3. Open the quiz on desktop and mobile devices.
4. Check the question number pagination. 
","F0BQCK5HP98,F0BQGAQ3W68",Accepted,,U07AFKF2R19,U06C1MJDCFL,"8/15/26, 2:25 AM","Hight Priority",0
"Enrollment Count Not Updated After Course Enrollment Expiration","The *course enrollment count is not automatically updated when a student's enrollment expires and the student is revoked from the course*.
When an enrollment validity period expires, Tutor LMS correctly revokes the student's access to the course, but the course's displayed/current enrollment number still includes the expired student.",,Request,,U07B4GNP7RN,U07B4GNP7RN,"8/13/26, 11:28 AM",High,0
"LaTeX equations are not rendering consistently in quiz questions, descriptions, and answer options.","• Some LaTeX equations render correctly in the *question*, but the *same equation* does not render correctly in the *answer options*.
• Some equations render correctly in the *answer options*, but fail to render properly in the *question* or *description*.
• The *description* section also shows inconsistent LaTeX rendering for certain equations.
As a result, the same LaTeX syntax produces different outputs depending on whether it is placed in the question, description, or answer options.","F0BJ95B1DT6,F0BJZPEUZC0,F0BJ95C7VKN",Accepted,,U07AFKF2R19,U018QTESVGC,"7/18/26, 2:40 AM","Hight Priority",0
"URGENT: Correct Answers Exposed in True/False Quiz Markup Before Submission","The correct answer for *True/False quiz questions* is exposed in the frontend page markup before the student selects or submits an answer.
On the initial page load, each True/False option contains an inline SVG icon:
• The correct answer contains a *checkmark SVG*.
• The incorrect answer contains a *cross SVG*.
This allows students to determine the correct answer.

For example:
• If the correct answer is *True*, the True option contains the checkmark SVG and False contains the cross SVG.
• If the correct answer is *False*, the icons are reversed.
The correct-answer indicator is therefore being sent to the client before the answer is submitted.","F0BKKQ6P17T,F0BKHSDD99Q",Done,,U07B4GNP7RN,U018QTESVGC,"7/24/26, 12:11 PM","Hight Priority",0
"AI Studio Image and Magic Fill Image Generation issue","OpenAI’s permanent retirement and shutdown of entire DALL-E standalone model family (including DALL-E 2 and DALL-E 3) on May 12, 2026, AI Studio image generation and Magic Fill features are experiencing breaking failures in production. We need to audit our entire codebase to update models and sizes according to OpenAI’s currently supported models.

https://community.openai.com/t/openai-is-making-a-huge-mistake-by-deprecating-dall-e-3/1367228",,Accepted,,U07A949N6VC,U018QTESVGC,"7/18/26, 11:41 PM",High,0
"No clear way to return to the main website on tablet and mobile","On desktop, users have two clear ways to return to the main website:
• The site logo at the top left.
• The “Explore Courses” link at the bottom of the left sidebar.
However, on medium-width screens:
• The left sidebar is hidden.
• The logo is no longer visible.
• The bottom mobile navigation is not shown.
• There is no visible way to return to the main website.
• There is no visible way to navigate within the dashboard.
On the smallest mobile layout, the bottom navigation appears, but there is still no clear “Back to Website” or “Exit Dashboard” option.","F0BJH4AHKS5,F0BHZRF1WTZ,F0BJH4AUHEV",Accepted,,U029V6VAVSP,U018QTESVGC,"7/20/26, 3:31 PM",High,0
"LearnPress to Tutor LMS migration","LearnPress to Tutor LMS migration

The migration reports a failure due to an issue with order data, even though courses, lessons, quizzes, and reviews are migrated successfully. Additionally, integrated quiz settings and options are not correctly migrated, resulting in quiz-related errors after migration.

It was also observed that the automatic migration completes successfully, whereas the manual migration does not start at all.

Attaching the site database backup. Please let us know if you require the site backup for testing.",F0BJC1M8KN1,Accepted,,U07ACRUL5N1,U018QTESVGC,"7/20/26, 3:51 PM",High,0
"Cart and Checkout Pages Display a Maximum of 10 Courses Even When More Courses Are Added","When a user adds more than *10 courses* to the cart in Tutor LMS, the *Cart* and *Checkout* pages display and process only the first *10 courses.*",,Accepted,,U07AFKF2R19,U018QTESVGC,"7/21/26, 2:23 AM","Hight Priority",0
"Courses with Certificate Set to ""None"" Still shows certificate.","When a course has its *Certificate* option set to *""None""*, it should not appear in the user's *Profile → Certificates* section. However, the course is still listed in the Certificates tab despite having no certificate assigned.","F0BJ4RQU19V,F0BJ4RRQ65V",Accepted,,U07AFKF2R19,U018QTESVGC,"7/21/26, 2:31 AM","Hight Priority",0
"Quiz Responsive issue","When images are added to quiz answer choices, they appear heavily cropped, truncated on the frontend.

Before adding image: https://drive.google.com/file/d/1tXwm0gbPNsYsYhzbp7l8sstbdqvRW6p5/view?usp=sharing

after adding image: https://drive.google.com/file/d/11SWvrt4xq_0ngX_mtDenXtQW_9-G1pha/view?usp=sharing).It

https://www.canva.com/design/DAHPqAALqtU/jC4ytL9jnJ33uGZnU6cf8w/edit",,Done,,U07ACRUL5N1,U018QTESVGC,"7/21/26, 11:39 AM",High,0
"Security Vulnerability: Missing Authorization in Tutor LMS Elementor Addons ≤ 4.0.0","Multiple users have reported a security vulnerability affecting *Tutor LMS Elementor Addons v4.0.0 and earlier*. The issue has also been published by Wordfence.

According to the report, the plugin is vulnerable to *Missing Authorization* due to missing capability checks in the following functions:
• `activate_tutor_free()`
• `activate_elementor_free()`
These functions are registered as `admin_action_*` handlers without proper authorization checks, allowing *authenticated users with Subscriber-level access or higher* to activate the Tutor LMS and Elementor plugins without the required permissions.",,Accepted,,U07AFKF2R19,U018QTESVGC,"7/22/26, 1:45 AM","Hight Priority",0
"Teacher Role Cannot Persist Lesson Reordering","The lesson and assignment drag-and-drop reordering functionality does not work correctly for users with the *Teacher* role.
The same functionality works correctly when tested with an *Administrator* account.

When a teacher reorders lessons or assignments using drag and drop, the items appear to move successfully in the editor. However, after the reordering action is completed, the content does not persist in the new order.
The lessons/assignments eventually return to their original positions.
This indicates that the drag-and-drop UI action is being performed, but the updated ordering may not be correctly saved or processed for the Teacher role.

Video Recording
Customer-provided video demonstrating the issue:
https://www.loom.com/share/f7310a4b30d24761bc0242b87eb622b5",,Accepted,,U07B4GNP7RN,U018QTESVGC,"7/22/26, 1:55 PM","Hight Priority",0
"Order confirmation email sent before payment is confirmed","Order confimation email is sent immediately after clicking “Pay Now” button on the checkout page.

It should be sent after the payment completely set as successful.",F0BJYFGJLKG,Rejected,,U029V6VAVSP,U018QTESVGC,"7/22/26, 4:23 PM",High,0
"Any new License cannot be activated","Any new License cannot be activated while Tutor LMS pro is in latest 4.0.1 and 4.0.2 version.

It works in 3.9.15 version.",F0BJX6TATA7,Done,,U07AFKF2R19,U018QTESVGC,"7/22/26, 10:23 PM","Hight Priority",0
"Course Bundle Manual Enrollment UI Issue","Error message shows that the maximum enrollment is reached: https://snipboard.io/horfOp.jpg. Although the maximum student number is set to zero",,Accepted,,U07ACRUL5N1,U018QTESVGC,"7/23/26, 4:23 PM",High,0
"In Legacy Mode: Quiz Submission Fails with ""Invalid ID"" Error","In Tutor LMS 4.0.2 version , When using *Legacy Mode*, quizzes cannot be submitted successfully. After attempting to submit a quiz, the system displays an *""Invalid ID""* error instead of processing the submission.

But there is no issue in modern mode.",F0BKETPRGTU,Done,,U07AFKF2R19,U018QTESVGC,"7/24/26, 2:17 AM","Hight Priority",0
"Dashboard Course Statistics Are Incorrect for Course Bundle Enrollments","When a student enrolls in a *Course Bundle*, the course statistics displayed on the *Student Dashboard → Courses* section are incorrect and do not accurately reflect the individual courses within the bundle.

• Immediately after enrollment, the dashboard displays *1 Enrolled Course* and *1 Active Course*, treating the entire Course Bundle as a single course instead of counting the individual courses within the bundle.
• After the student starts two courses, the dashboard updates to show *2 Enrolled Courses* and *2 Active Courses*.
• However, after completing one of those courses, the *Completed Courses* count does not increase, and the completed course is not reflected in the dashboard statistics.
","F0BKD1KV51C,F0BKF15HB98,F0BKF16C1S6,F0BJZKX2K63",Rejected,,U07AFKF2R19,U018QTESVGC,"7/24/26, 2:32 AM","Hight Priority",0
"Tutor LMS course bundle addon Improvement","Editing a bundle does not re-enroll existing buyers
When a course inside a bundle is replaced with a different one, students who already purchased the bundle are NOT enrolled in the new course. Their dashboard shows the new course (read from the bundle-course-ids meta) but clicking it returns ""no access"".
This affected ~150 students on our site and required manual re-enrollment via WP-CLI using tutor_utils()->do_enroll() plus a status change to 'completed' (do_enroll leaves the enrollment as 'pending', which does not grant access — that was another surprise).
Suggested improvement: when a bundle's course list changes, offer to sync enrollments for existing owners, or at least warn the admin that existing buyers will lose access to the removed course and won't gain access to the new one.
FILTER HOOK OBSERVATION
While building a temporary workaround we found what looks like a bug in CourseModel::get_enrolled_courses_by_user() (tutor/models/CourseModel.php, around line 1357):
```$course_args = array(
    'post_type'      => $course_post_type,
    'post_status'    => $post_status,
    'post__in'       => $course_ids,
    'offset'         => $offset,
    'posts_per_page' => $posts_per_page,
    'orderby'        => 'post__in',
);
$args        = apply_filters( 'tutor_get_enrolled_courses_by_user', $args, $user_id, $course_post_type );
$course_args = wp_parse_args( $args, $course_args );```
The filter receives $args — the 5th function parameter, which is an empty array by default — not $course_args, which is the array actually holding post__in with the enrolled IDs. Developers hooking this filter cannot inspect the enrolled course IDs; they have to re-query them with tutor_utils()->get_enrolled_courses_ids_by_user().
Passing $course_args to the filter (or at least including the resolved $course_ids as an extra argument) would make this hook genuinely usable.
CURRENT WORKAROUND
We're filtering tutor_get_enrolled_courses_by_user, tutor_get_active_courses_by_user and tutor_get_completed_courses_by_user to exclude any course ID found in the bundle-course-ids meta of bundles the user owns. It fixes the duplication, but we'd rather rely on native behavior.",,Accepted,,U07ACRUL5N1,U018QTESVGC,"7/24/26, 3:42 PM",Mid,0
"Error - message return on Tutor RestApi","Endpoint: GET `/wp-json/tutor/v1/students/{id}/courses`

If anyone tries to request this endpoint with the student id who is not enrolled in any course yet.  Then it return's an error message.
```{
""code"":""tutor_read_student"",
""message"":""Courses retrieved failed"",
""data"":{
""status"":500,
""details"":""count(): Argument #1 ($value) must be of type Countable|array, false given""
}
} ```
Instead this should be return a meaning full message like: *This student is not enrolled in any course yet.*",,Request,,U029V6VAVSP,U029V6VAVSP,"8/12/26, 12:25 PM",Mid,0
"Course Bundle Addon issue UI","Bundled courses appear twice in the student dashboard
When a student owns a Course Bundle, every course inside that bundle is listed twice at /dashboard/courses/:
1. As a standalone course card
2. Again nested inside the bundle card
Steps to reproduce:
1. Create a bundle containing 4 courses
2. Enroll a student in the bundle (individual enrollments are created for each course)
3. Log in as that student, go to /dashboard/courses/
4. Each bundled course appears twice
Expected: courses belonging to an owned bundle should appear only inside the bundle card. Standalone cards should be reserved for courses bought individually.",,Rejected,,U07ACRUL5N1,U018QTESVGC,"7/24/26, 3:45 PM",High,0
"Tutor LMS Dashboard Account UI Issue","When a user on mobile goes to *Settings -> Account or Social Accounts* and starts typing in any field, the page immediately closes and redirects back to the main Settings screen.
Note: This issue only happens on mobile phones; it works perfectly fine on desktop.",F0BKMCQJNG1,Accepted,,U07ACRUL5N1,U018QTESVGC,"7/24/26, 4:19 PM","Hight Priority",0
"Mobile Profile Editor Redirects to Settings in Chrome for Android","The Tutor LMS frontend mobile profile editor unexpectedly closes and redirects the user back to the *Dashboard → Settings* page when the user interacts with editable profile fields in *Chrome for Android*.
The issue is reproducible across multiple profile fields and appears to affect both personal information and social profile sections.

Steps to Reproduce
1. Log in as a student or instructor.
2. Navigate to:
*Dashboard → Settings → Edit Profile*
3. Tap any editable field, such as:
Name
Last Name
Phone Number
Occupation
Biography
Facebook
X/Twitter
LinkedIn
GitHub
Website
4. Start typing or tap inside the field multiple times.
5. Observe the behavior.

The profile editor unexpectedly closes and redirects the user back to the *Settings* page without the user pressing the back button or manually navigating away.
The issue may occur after one or two taps or while typing.

*Works well in DESKTOP*",,Accepted,,U07B4GNP7RN,U018QTESVGC,"7/27/26, 3:24 PM","Hight Priority",0
"Course completion status after failing a quiz UI","*Steps to Reproduce:*
• Complete each lesson by clicking the *Completed* button.
• Start the quiz and answer the questions.
• Fail the quiz by answering questions incorrectly.
*Actual Behavior:*
The course is incorrectly showing as *100% completed*, even though the student did not pass the quiz.

*Expected Behavior:*
The course should not show 100% in UI until the required quiz has been successfully passed.",,Accepted,,U07ACRUL5N1,U07ACRUL5N1,"7/28/26, 3:42 PM",High,0
"Translation Strings Missing","https://prnt.sc/H0SCINrRlQa4
https://prnt.sc/6HAt6VGmHgDJ
https://prnt.sc/FGR_lXEVgJMP",,Accepted,,U07ACRUL5N1,U018QTESVGC,"7/29/26, 1:27 PM",Mid,0
